,urls
177,https://www.cnn.com/2022/03/08/asia/taiwan-china-ukraine-russia-wu-intl-hnk/index.html
178,https://www.cnn.com/2022/03/08/europe/russian-general-killed-ukraine-kharkiv-intl/index.html
179,https://www.cnn.com/2022/03/08/politics/zelensky-ukraine-churchill-what-matters/index.html
180,https://www.cnn.com/2022/03/08/entertainment/hayden-panettiere-ukraine/index.html
181,https://www.cnn.com/2022/03/07/sport/ivan-kuliak-russian-gymnastics-ukraine-z-spt-intl/index.html
182,https://www.cnn.com/2022/03/07/opinions/europe-refugee-response-ukrainians-syrians-damon/index.html
183,https://www.cnn.com/2022/03/07/tech/russia-internet-facebook-block-iron-curtain/index.html
184,https://www.cnn.com/2022/03/08/india/indian-students-stuck-sumy-ukraine-intl-hnk-dst/index.html
185,https://www.cnn.com/2022/03/09/europe/russia-conscripts-fighting-ukraine-intl/index.html
186,https://www.cnn.com/2022/03/10/china/china-russia-disinformation-campaign-ukraine-intl-dst-hnk/index.html
187,https://www.cnn.com/2022/03/09/opinions/china-russia-war-against-ukraine-johnson/index.html
188,https://www.cnn.com/2022/03/09/middleeast/mideast-summary-03-09-2022-intl/index.html
189,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-09-22/h_3da8076f2df5caaa972fc6693c4aed99
190,https://www.cnn.com/2022/03/09/world/tiktok-photographer-ukraine-bunker-valeria-shashenok/index.html
191,https://www.cnn.com/2022/03/09/politics/ukraine-russia-poland-fighter-jets/index.html
192,https://www.cnn.com/2022/03/09/world/ukrainian-refugee-aid-poland-border-trnd/index.html
193,https://www.cnn.com/2022/03/09/media/russia-free-press-ukraine-intl-cmd/index.html
194,https://www.cnn.com/2022/03/09/tennis/andy-murray-donate-prize-money-ukraine-spt-intl/index.html
195,https://www.cnn.com/2022/03/09/us/five-things-march-9-trnd/index.html
196,https://www.cnn.com/2022/03/09/politics/us-poland-jets-russia/index.html
197,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-10-22/h_91cef885a440364698cddfc105ffb391
198,https://www.cnn.com/2022/03/10/tech/facebook-instagram-russians/index.html
199,https://www.cnn.com/2022/03/10/politics/biden-inflation-consumer-price-index/index.html
200,https://www.cnn.com/2022/03/10/politics/thomas-greenfield-russia-war-crimes/index.html
201,https://www.cnn.com/2022/03/10/politics/fact-check-ukraine-not-actually-crisis-actor-fakes/index.html
202,https://www.cnn.com/2022/03/10/business/rio-tinto-russia/index.html
203,https://www.cnn.com/2022/03/10/opinions/war-in-ukraine-red-lines-bociurkiw/index.html
204,https://www.cnn.com/2022/03/10/world/ukraine-refugees-poland-housing-cnnheroes/index.html
205,https://www.cnn.com/2022/03/09/media/biolab-ukraine-russia-qanon-false-conspiracy-theory/index.html
206,https://www.cnn.com/2022/03/10/us/five-things-march-10-trnd/index.html
207,https://www.cnn.com/2022/03/10/politics/donald-trump-ukraine-russia-invasion-windmills/index.html
208,https://www.cnn.com/2022/03/10/europe/denmark-refugees-ukraine-syrian-intl/index.html
209,https://www.cnn.com/2022/03/10/europe/ukraine-family-separated-mariupol/index.html
210,https://www.cnn.com/2022/03/10/sport/ukraine-russia-putin-sports-sanctions-intl-spt/index.html
211,https://www.cnn.com/2022/03/10/politics/us-ukraine-refugees-title-42/index.html
212,https://www.cnn.com/2022/03/10/business/russia-nationalization-western-companies/index.html
213,https://www.cnn.com/2022/03/11/europe/language-meaning-ukraine-russia-invasion-cmd-intl/index.html
214,https://www.cnn.com/2022/03/11/politics/russia-misinformation-putin-lavrov-ukraine-war/index.html
215,https://www.cnn.com/2022/03/12/europe/ukraine-invasion-friends-family-separated-cmd-intl/index.html
216,https://www.cnn.com/2022/03/11/politics/russia-ukraine-heavy-weaponry/index.html
217,https://www.cnn.com/2022/03/11/middleeast/mideast-summary-03-11-2022-intl/index.html
218,https://www.cnn.com/2022/03/11/europe/disability-ukraine-russia-invasion-intl-cmd/index.html
219,https://www.cnn.com/2022/03/11/europe/kherson-baker-supplying-bread-ukraine-war/index.html
220,https://www.cnn.com/2022/03/10/politics/nato-surveillance-flight-russia-belarus/index.html
221,https://www.cnn.com/2022/03/12/world/animals-pets-rescued-ukraine/index.html
222,https://www.cnn.com/2022/03/11/politics/social-media-ukraine-russia-biden-administration/index.html
223,https://www.cnn.com/2022/03/10/politics/jill-biden-joe-biden-ukraine/index.html
224,https://www.cnn.com/2022/03/11/politics/kamala-harris-romania/index.html
225,https://www.cnn.com/2022/03/11/tech/meta-policy-change-russia-investigation/index.html
226,https://www.cnn.com/2022/03/11/us/five-things-march-11-trnd/index.html
227,https://www.cnn.com/2022/03/11/uk/royal-news-newsletter-03-11-22-scli-gbr-cmd-intl/index.html
228,https://www.cnn.com/2022/03/12/opinions/ukrainian-identity-russia-invasion-buchatskiy/index.html
229,https://www.cnn.com/2022/03/12/europe/russia-ukraine-war-cyber-attacks/index.html
230,https://www.cnn.com/2022/03/13/politics/fact-check-russia-misinformation-ukraine/index.html
231,https://www.cnn.com/style/article/paris-fashion-week-highlights-fw-2022/index.html
232,https://www.cnn.com/2022/03/12/europe/ukraine-chernihiv-tato-mama-intl-hnk-dst/index.html
233,https://www.cnn.com/2022/03/12/politics/fact-check-dicaprio-donation-10-million-ukraine/index.html
234,https://www.cnn.com/2022/03/13/politics/politics-midterms-biden-ukraine/index.html
235,https://www.cnn.com/2022/03/12/us/pregnant-woman-flees-ukraine-new-york-city/index.html
